lambda,x,rho,type,x0,x1
0.9,-0.39855072,0.87078,emp,-0.39855072,-0.32608697
0.9,-0.32608697,0.835245,emp,-0.32608697,-0.2536232
0.9,-0.2536232,0.800055,emp,-0.2536232,-0.18115942
0.9,-0.18115942,0.7659,emp,-0.18115942,-0.10869565
0.9,-0.10869565,0.72933,emp,-0.10869565,-0.036231883
0.9,-0.036231883,0.694485,emp,-0.036231883,0.036231883
0.9,0.036231883,0.651015,emp,0.036231883,0.10869565
0.9,0.10869565,0.626175,emp,0.10869565,0.18115942
0.9,0.18115942,0.579255,emp,0.18115942,0.2536232
0.9,0.2536232,0.545445,emp,0.2536232,0.32608697
0.9,0.32608697,0.513705,emp,0.32608697,0.39855072
0.9,0.39855072,0.47817,emp,0.39855072,0.4710145
0.9,0.4710145,0.44091,emp,0.4710145,0.54347825
0.9,0.54347825,0.40227,emp,0.54347825,0.615942
0.9,0.615942,0.377085,emp,0.615942,0.6884058
0.9,0.6884058,0.335685,emp,0.6884058,0.76086956
0.9,0.76086956,0.291525,emp,0.76086956,0.8333333
0.9,0.8333333,0.251505,emp,0.8333333,0.9057971
0.9,0.9057971,0.202515,emp,0.9057971,0.9782609
0.9,0.9782609,0.14421,emp,0.9782609,1.0507246
0.9,1.0507246,0.05727,emp,1.0507246,1.1231884
0.9,1.1231884,0.0,emp,1.1231884,1.1956521
0.9,1.268116,0.0,emp,,
0.9,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
0.9,-0.76086956,0.0345,empMin,-0.76086956,-0.6884058
0.9,-0.6884058,0.0,empMin,-0.6884058,-0.615942
0.9,-0.54347825,0.0,empMin,,
0.9,0.9782609,0.0,empMax,0.9782609,1.0507246
0.9,1.0507246,0.0345,empMax,1.0507246,1.1231884
0.9,1.1231884,0.0,empMax,1.1231884,1.1956521
0.9,1.268116,0.0,empMax,,
1.1,-2.5,5.583448e-9,free,,
1.1,-0.7532533,5.6151754e-7,free,,
1.1,-0.7432432,0.038364254,free,,
1.1,-0.7382382,0.049943093,free,,
1.1,-0.7332332,0.05814864,free,,
1.1,-0.7282282,0.06393819,free,,
1.1,-0.7232232,0.06744609,free,,
1.1,-0.7182182,0.0682811,free,,
1.1,-0.7132132,0.06527951,free,,
1.1,-0.7082082,0.05520714,free,,
1.1,-0.7032032,0.020204512,free,,
1.1,-0.6981982,0.0000020349455,free,,
1.1,-0.6931932,0.000005955824,free,,
1.1,-0.6881882,0.22693081,free,,
1.1,-0.6831832,0.32784107,free,,
1.1,-0.6781782,0.3990485,free,,
1.1,-0.6681682,0.5018264,free,,
1.1,-0.6581582,0.5760937,free,,
1.1,-0.6481481,0.63345397,free,,
1.1,-0.6431431,0.6575881,free,,
1.1,-0.6331331,0.698904,free,,
1.1,-0.6181181,0.74756145,free,,
1.1,-0.6031031,0.78451794,free,,
1.1,-0.5880881,0.8128673,free,,
1.1,-0.5780781,0.82802385,free,,
1.1,-0.5680681,0.84072053,free,,
1.1,-0.5580581,0.85131454,free,,
1.1,-0.548048,0.8600977,free,,
1.1,-0.538038,0.86731124,free,,
1.1,-0.523023,0.8756208,free,,
1.1,-0.508008,0.8813987,free,,
1.1,-0.492993,0.8850809,free,,
1.1,-0.477978,0.88701546,free,,
1.1,-0.46296296,0.88748395,free,,
1.1,-0.44294295,0.8862193,free,,
1.1,-0.4229229,0.8831891,free,,
